_bucket,id,ruling_id,source,issuing_country,jurisdiction,hs6,hs_code,chapter,product_name,material,material_composition,product_form,intended_use,conditional_rules,ruling_date,valid_from,valid_to,status,language,confidence_score,needs_manual_review,keywords,categories,collection,review_verdict,review_issue_category,review_notes
high_conf_active,61,N288024,cbp_cross,US,US,991302,99130205,99,The tariff classification and status under the United States-Australia Free Trade Agreement (UAFTA) of Frozen Water Buffalo Meat,cardboard,,ground,food,,2017-08-07,,,active,en,0.9,false,,Classification,ny,,,
high_conf_active,135,N337246,cbp_cross,US,US,030910,0309100500,3,Codfish Powder,paper,,ground,industrial,,2024-01-20,,,active,en,1,false,,Classification,ny,,,
high_conf_active,136,N337246,cbp_cross,US,US,220202,220202,22,Codfish Powder,paper,,ground,industrial,,2024-01-20,,,active,en,0.9,false,,Classification,ny,,,
high_conf_active,139,N329614,cbp_cross,US,US,030614,0306144090,3,Frozen Crabs,shell,,smoked,food,,2022-12-21,,,active,en,1,false,,Classification,ny,,,
high_conf_active,145,N326844,cbp_cross,US,US,030499,0304991190,3,Frozen Ground Tuna,,,ground,food,,2022-07-27,,,active,en,0.9,false,,Classification,ny,,,
high_conf_active,147,N334876,cbp_cross,US,US,030389,0303890080,3,Frozen Japanese Seabass,,,frozen,food,,2023-09-20,,,active,en,0.9,false,,Classification,ny,,,
high_conf_active,148,N334876,cbp_cross,US,US,030489,0304895091,3,Frozen Japanese Seabass,,,frozen,food,,2023-09-20,,,active,en,0.9,false,,Classification,ny,,,
high_conf_active,152,N337380,cbp_cross,US,US,030722,0307220000,3,Frozen Scallops,shell,,dried,food,,2024-01-16,,,active,en,1,false,,Classification,ny,,,
high_conf_active,153,N337380,cbp_cross,US,US,025414,02541400,2,Frozen Scallops,shell,,dried,food,,2024-01-16,,,active,en,0.95,false,,Classification,ny,,,
high_conf_active,154,N293202,cbp_cross,US,US,030549,0305494045,3,Frozen Smoked Minced Tuna,wood,,smoked,food,,2018-02-02,,,active,en,0.95,false,,Classification,ny,,,
high_conf_active,157,N355931,cbp_cross,US,US,030474,0304745000,3,Frozen Whiting Fillets,,,frozen,food,,2025-12-08,,,active,en,0.9,false,,Classification,ny,,,
high_conf_active,160,N337245,cbp_cross,US,US,030910,0309109000,3,Lobster Powder,paper,,ground,industrial,,2024-01-20,,,active,en,1,false,,Classification,ny,,,
high_conf_active,161,N337245,cbp_cross,US,US,420201,420201,42,Lobster Powder,paper,,ground,industrial,,2024-01-20,,,active,en,0.9,false,,Classification,ny,,,
high_conf_active,171,N329589,cbp_cross,US,US,030617,0306170041,3,Shrimp Nobashi,shell,,dried,food,,2022-12-21,,,active,en,1,false,,Classification,ny,,,
high_conf_active,172,N337244,cbp_cross,US,US,030910,0309109000,3,Shrimp Powder,paper,,ground,industrial,,2024-01-20,,,active,en,1,false,,Classification,ny,,,
high_conf_active,173,N337244,cbp_cross,US,US,400201,400201,40,Shrimp Powder,paper,,ground,industrial,,2024-01-20,,,active,en,0.9,false,,Classification,ny,,,
high_conf_active,174,N337247,cbp_cross,US,US,030910,0309109000,3,Shrimp Shell Powder,paper,,ground,industrial,,2024-01-20,,,active,en,1,false,,Classification,ny,,,
high_conf_active,175,N337247,cbp_cross,US,US,430201,430201,43,Shrimp Shell Powder,paper,,ground,industrial,,2024-01-20,,,active,en,0.9,false,,Classification,ny,,,
high_conf_active,176,N351549,cbp_cross,US,US,030389,0303890080,3,The Tariff Classification and Country of Origin of Frozen Golden Pompano Fish,,,frozen,food,,2025-08-15,,,active,en,0.9,false,,"Classification, Origin",ny,,,
high_conf_active,181,N346762,cbp_cross,US,US,030443,0304430025,3,The Tariff Classification and Country of Origin of Frozen Greenland Halibut,,,frozen,food,,2025-04-16,,,active,en,0.9,false,,"Classification, Origin",ny,,,
high_conf_active,183,N337385,cbp_cross,US,US,030722,0307220000,3,The Tariff Classification and Country of Origin of Frozen Scallop Meat,shell,,dried,industrial,,2024-01-29,,,active,en,1,false,,"Classification, Origin",ny,,,
high_conf_active,184,N337385,cbp_cross,US,US,025414,02541400,2,The Tariff Classification and Country of Origin of Frozen Scallop Meat,shell,,dried,industrial,,2024-01-29,,,active,en,0.95,false,,"Classification, Origin",ny,,,
high_conf_active,185,N326448,cbp_cross,US,US,030722,0307220000,3,The Tariff Classification and Country of Origin of Frozen Scallops,shell,,molded,industrial,,2022-06-23,,,active,en,1,false,,"Classification, Origin",ny,,,
high_conf_active,186,N326448,cbp_cross,US,US,025414,02541400,2,The Tariff Classification and Country of Origin of Frozen Scallops,shell,,molded,industrial,,2022-06-23,,,active,en,0.95,false,,"Classification, Origin",ny,,,
high_conf_active,187,N344668,cbp_cross,US,US,030743,0307430029,3,The Tariff Classification and Country of Origin of Frozen Squid Rings,shell,,smoked,food,,2025-01-14,,,active,en,1,false,,"Classification, Origin",ny,,,
high_conf_active,188,N344668,cbp_cross,US,US,025414,02541400,2,The Tariff Classification and Country of Origin of Frozen Squid Rings,shell,,smoked,food,,2025-01-14,,,active,en,0.95,false,,"Classification, Origin",ny,,,
high_conf_active,189,N326155,cbp_cross,US,US,030743,0307430029,3,The Tariff Classiifcation and Country of Origin of Frozen Squid,shell,,molded,industrial,,2022-06-16,,,active,en,1,false,,"Classification, Origin",ny,,,
high_conf_active,190,N326155,cbp_cross,US,US,025414,02541400,2,The Tariff Classiifcation and Country of Origin of Frozen Squid,shell,,molded,industrial,,2022-06-16,,,active,en,0.95,false,,"Classification, Origin",ny,,,
high_conf_active,192,N301899,cbp_cross,US,US,030743,0307430024,3,The tariff classification and country of origin of Frozen Cleaned Squid,shell,,molded,industrial,,2018-12-18,,,active,en,0.95,false,,Classification,ny,,,
high_conf_active,193,N301899,cbp_cross,US,US,980100,98010010,98,The tariff classification and country of origin of Frozen Cleaned Squid,shell,,molded,industrial,,2018-12-18,,,active,en,0.9,false,,Classification,ny,,,
high_conf_active,194,N301899,cbp_cross,US,US,025414,02541400,2,The tariff classification and country of origin of Frozen Cleaned Squid,shell,,molded,industrial,,2018-12-18,,,active,en,0.9,false,,Classification,ny,,,
high_conf_active,196,N358480,cbp_cross,US,US,030752,0307520000,3,The tariff classification and country of origin of Frozen Octopus,shell,,blown,food,,2026-02-05,,,active,en,1,false,,"Classification, Origin",ny,,,
high_conf_active,197,N308719,cbp_cross,US,US,030743,0307430029,3,The tariff classification and country of origin of Frozen Squid,shell,,molded,industrial,,2020-01-31,,,active,en,0.95,false,,"Classification, Origin",ny,,,
high_conf_active,198,N308719,cbp_cross,US,US,025414,02541400,2,The tariff classification and country of origin of Frozen Squid,shell,,molded,industrial,,2020-01-31,,,active,en,0.9,false,,"Classification, Origin",ny,,,
high_conf_active,199,N324129,cbp_cross,US,US,030743,0307430050,3,The tariff classification and country of origin of Frozen Squid Tentacles,shell,,molded,industrial,,2022-02-24,,,active,en,1,false,,"Classification, Origin",ny,,,
high_conf_active,200,N324129,cbp_cross,US,US,025414,02541400,2,The tariff classification and country of origin of Frozen Squid Tentacles,shell,,molded,industrial,,2022-02-24,,,active,en,0.95,false,,"Classification, Origin",ny,,,
high_conf_active,201,N333864,cbp_cross,US,US,030541,0305410000,3,The tariff classification and country of origin of Smoked Salmon,,,smoked,industrial,,2023-08-02,,,active,en,0.9,false,,Classification; Country of Origin,ny,,,
high_conf_active,216,N317233,cbp_cross,US,US,030743,0307430029,3,The tariff classification and origin of Frozen Squid. Correction to Ruling Number N315965,shell,,molded,industrial,,2021-02-01,,,active,en,0.95,false,,"Classification, Origin",ny,,,
high_conf_active,217,N317233,cbp_cross,US,US,025414,02541400,2,The tariff classification and origin of Frozen Squid. Correction to Ruling Number N315965,shell,,molded,industrial,,2021-02-01,,,active,en,0.9,false,,"Classification, Origin",ny,,,
high_conf_active,219,N328743,cbp_cross,US,US,030743,0307430029,3,"The tariff classification, country of origin and marking of Frozen Cleaned Squid",shell,,molded,industrial,,2022-11-10,,,active,en,1,false,,"Classification, Origin",ny,,,
high_conf_active,220,N328743,cbp_cross,US,US,990388,99038803,99,"The tariff classification, country of origin and marking of Frozen Cleaned Squid",shell,,molded,industrial,,2022-11-10,,,active,en,0.95,false,,"Classification, Origin",ny,,,
high_conf_active,221,N328743,cbp_cross,US,US,025414,02541400,2,"The tariff classification, country of origin and marking of Frozen Cleaned Squid",shell,,molded,industrial,,2022-11-10,,,active,en,0.95,false,,"Classification, Origin",ny,,,
high_conf_active,233,N315707,cbp_cross,US,US,030612,0306120070,3,"The tariff classification, country of origin, marking and status under the United States Mexico Canada Trade Agreement (USMCA), of U.S.-origin lobsters that have been processed in Canada",cardboard,,assembled,food,,2020-12-01,,,active,en,0.95,false,,Classification,ny,,,
high_conf_active,234,N303239,cbp_cross,US,US,030552,0305520000,3,"The tariff classification, country of origin, marking, and application of a trade program or trade agreement of food products",down,,molded,food,,2019-03-29,,,active,en,0.95,false,,Classification,ny,,,
high_conf_active,235,N303239,cbp_cross,US,US,041000,0410000000,4,"The tariff classification, country of origin, marking, and application of a trade program or trade agreement of food products",down,,molded,food,,2019-03-29,,,active,en,0.95,false,,Classification,ny,,,
high_conf_active,236,N303239,cbp_cross,US,US,110620,1106209000,11,"The tariff classification, country of origin, marking, and application of a trade program or trade agreement of food products",down,,molded,food,,2019-03-29,,,active,en,0.95,false,,Classification,ny,,,
high_conf_active,237,N295106,cbp_cross,US,US,030612,0306120070,3,"The tariff classification, country of origin, marking, and status under the North American Free Trade Agreement (NAFTA), of U.S.-origin lobster that have been processed in Canada; Article 509",shell,,dried,food,,2018-04-11,,,active,en,0.95,false,,Classification,ny,,,
high_conf_active,238,N282063,cbp_cross,US,US,030617,0306170009,3,"The tariff classification, marking and country of origin of Frozen Wild Caught Shrimp",polyethylene,,dried,food,,2017-01-18,,,active,en,0.95,false,,Classification,ny,,,
high_conf_active,239,N281670,cbp_cross,US,US,030617,0306170040,3,"The tariff classification, marking and country of origin of frozen farm raised shrimp from India",polyethylene,,dried,food,,2017-01-03,,,active,en,0.95,false,,Classification,ny,,,
high_conf_active,240,N281670,cbp_cross,US,US,160521,1605211020,16,"The tariff classification, marking and country of origin of frozen farm raised shrimp from India",polyethylene,,dried,food,,2017-01-03,,,active,en,0.95,false,,Classification,ny,,,
high_conf_active,242,N337243,cbp_cross,US,US,030910,0309100500,3,Whitefish Powder,paper,,ground,industrial,,2024-01-20,,,active,en,1,false,,Classification,ny,,,
high_conf_active,243,N337243,cbp_cross,US,US,200201,200201,20,Whitefish Powder,paper,,ground,industrial,,2024-01-20,,,active,en,0.9,false,,Classification,ny,,,
high_conf_active,385,N302241,cbp_cross,US,US,040390,0403909000,4,Cheese Flavor Pastes and Cultured Cream Flavor Paste,polyester,,fermented,food,,2019-03-01,,,active,en,0.95,false,,Classification,ny,,,
high_conf_active,386,N302241,cbp_cross,US,US,040590,0405901040,4,Cheese Flavor Pastes and Cultured Cream Flavor Paste,polyester,,fermented,food,,2019-03-01,,,active,en,0.95,false,,Classification,ny,,,
high_conf_active,387,N302241,cbp_cross,US,US,990404,99040450,99,Cheese Flavor Pastes and Cultured Cream Flavor Paste,polyester,,fermented,food,,2019-03-01,,,active,en,0.9,false,,Classification,ny,,,
high_conf_active,388,N302241,cbp_cross,US,US,990405,99040501,99,Cheese Flavor Pastes and Cultured Cream Flavor Paste,polyester,,fermented,food,,2019-03-01,,,active,en,0.9,false,,Classification,ny,,,
high_conf_active,394,N343026,cbp_cross,US,US,040690,0406909500,4,Cheeses,plastic,,,packaging,,2024-10-31,,,active,en,0.95,false,,Classification,ny,,,
high_conf_active,395,N343026,cbp_cross,US,US,990406,99040638,99,Cheeses,plastic,,,packaging,,2024-10-31,,,active,en,0.9,false,,Classification,ny,,,
high_conf_active,399,N313461,cbp_cross,US,US,040630,0406307700,4,Crema di Parmigiano Reggiano,plastic,,powdered,food,,2020-08-19,,,active,en,0.95,false,,Classification,ny,,,
high_conf_active,400,N313461,cbp_cross,US,US,990389,99038910,99,Crema di Parmigiano Reggiano,plastic,,powdered,food,,2020-08-19,,,active,en,0.9,false,,Classification,ny,,,
high_conf_active,401,N313461,cbp_cross,US,US,990405,99040595,99,Crema di Parmigiano Reggiano,plastic,,powdered,food,,2020-08-19,,,active,en,0.9,false,,Classification,ny,,,
high_conf_active,402,N313461,cbp_cross,US,US,990406,99040605,99,Crema di Parmigiano Reggiano,plastic,,powdered,food,,2020-08-19,,,active,en,0.9,false,,Classification,ny,,,
high_conf_active,403,N313461,cbp_cross,US,US,102914,10291400,10,Crema di Parmigiano Reggiano,plastic,,powdered,food,,2020-08-19,,,active,en,0.9,false,,Classification,ny,,,
high_conf_active,406,N335868,cbp_cross,US,US,040640,0406405800,4,Danish Salad Dressing,plastic,,,food,,2023-10-27,,,active,en,0.95,false,,Classification,ny,,,
high_conf_active,407,N335868,cbp_cross,US,US,210390,21039090,21,Danish Salad Dressing,plastic,,,food,,2023-10-27,,,active,en,0.9,false,,Classification,ny,,,
high_conf_active,408,N335868,cbp_cross,US,US,990405,99040548,99,Danish Salad Dressing,plastic,,,food,,2023-10-27,,,active,en,0.9,false,,Classification,ny,,,
high_conf_active,424,N310431,cbp_cross,US,US,040690,0406905900,4,Feta Cheese,plastic,,,food,,2020-04-03,,,active,en,0.9,false,,Classification,ny,,,
high_conf_active,432,N336590,cbp_cross,US,US,040690,0406900890,4,Fondue Cheese Bakes,ceramic,,ground,food,,2023-12-08,,,active,en,1,false,,Classification,ny,,,
high_conf_active,433,N336590,cbp_cross,US,US,990405,99040559,99,Fondue Cheese Bakes,ceramic,,ground,food,,2023-12-08,,,active,en,0.95,false,,Classification,ny,,,
high_conf_active,444,N329400,cbp_cross,US,US,040590,0405901020,4,Ghee,glass,,,food,,2022-12-02,,,active,en,0.95,false,,Classification,ny,,,
high_conf_active,445,N329400,cbp_cross,US,US,990405,99040537,99,Ghee,glass,,,food,,2022-12-02,,,active,en,0.9,false,,Classification,ny,,,
high_conf_active,449,N353510,cbp_cross,US,US,040690,0406901600,4,Gouda Cheese,,,molded,food,,2025-10-09,,,active,en,0.9,false,,Classification,ny,,,
high_conf_active,504,N333193,cbp_cross,US,US,040490,0404901000,4,Milk Protein Concentrates,,,dried,food,,2023-12-07,,,active,en,0.9,false,,Classification,ny,,,
high_conf_active,515,N343004,cbp_cross,US,US,040690,0406905900,4,Organic Feta Cheese,plastic,,,food,,2024-10-31,,,active,en,0.95,false,,Classification,ny,,,
high_conf_active,525,N343151,cbp_cross,US,US,040690,0406904100,4,Parmesan Style Aged Cheese,cardboard,,,food,,2024-11-07,,,active,en,0.95,false,,Classification,ny,,,
high_conf_active,526,N343151,cbp_cross,US,US,990405,99040595,99,Parmesan Style Aged Cheese,cardboard,,,food,,2024-11-07,,,active,en,0.9,false,,Classification,ny,,,
high_conf_active,527,N343151,cbp_cross,US,US,990406,99040605,99,Parmesan Style Aged Cheese,cardboard,,,food,,2024-11-07,,,active,en,0.9,false,,Classification,ny,,,
high_conf_active,531,N317680,cbp_cross,US,US,040690,0406907600,4,Popped Cheese Snacks,plastic,,,food,,2021-03-19,,,active,en,0.9,false,,Classification,ny,,,
high_conf_active,541,N335977,cbp_cross,US,US,040630,0406302400,4,Processed Cheddar Cheese,glass,,powdered,food,,2023-11-14,,,active,en,1,false,,Classification,ny,,,
high_conf_active,542,N335977,cbp_cross,US,US,990405,99040559,99,Processed Cheddar Cheese,glass,,powdered,food,,2023-11-14,,,active,en,0.95,false,,Classification,ny,,,
high_conf_active,543,N285241,cbp_cross,US,US,040630,0406307300,4,Processed Cheese,plastic,,powdered,food,,2017-05-12,,,active,en,0.95,false,,,ny,,,
high_conf_active,544,N285241,cbp_cross,US,US,990405,99040583,99,Processed Cheese,plastic,,powdered,food,,2017-05-12,,,active,en,0.9,false,,,ny,,,
high_conf_active,582,N286319,cbp_cross,US,US,040900,0409000010,4,The tariff classification and country of origin marking of monofloral honey,glass,,molded,food,,2017-06-12,,,active,en,0.95,false,,Classification,ny,,,
high_conf_active,584,N340827,cbp_cross,US,US,040299,0402997000,4,The tariff classification and eligibility of the United States-Mexico-Canada Agreement (USMCA) of Whipped Cream,,,powdered,food,,2024-07-17,,,active,en,0.9,false,,Classification; Trade Agreement,ny,,,
high_conf_active,626,N347157,cbp_cross,US,US,040690,0406904200,4,"The tariff classification, country of origin, and eligibility under the United States-Mexico-Canada Agreement (USMCA) for Shaved or Shredded Parmesan Cheese",plastic,,powdered,food,,2025-04-16,,,active,en,1,false,,"Classification, Country",ny,,,
high_conf_active,627,N347157,cbp_cross,US,US,982304,98230401,98,"The tariff classification, country of origin, and eligibility under the United States-Mexico-Canada Agreement (USMCA) for Shaved or Shredded Parmesan Cheese",plastic,,powdered,food,,2025-04-16,,,active,en,0.95,false,,"Classification, Country",ny,,,
high_conf_active,628,N300060,cbp_cross,US,US,040690,0406909500,4,"The tariff classification, country of origin, marking and status under the North American Free Trade Agreement (NAFTA) of Monterey Jack Cheese Snack",cellulose,,molded,food,,2018-09-07,,,active,en,0.95,false,,Classification,ny,,,
high_conf_active,629,N300060,cbp_cross,US,US,990406,99040638,99,"The tariff classification, country of origin, marking and status under the North American Free Trade Agreement (NAFTA) of Monterey Jack Cheese Snack",cellulose,,molded,food,,2018-09-07,,,active,en,0.9,false,,Classification,ny,,,
high_conf_active,660,N295853,cbp_cross,US,US,040630,0406308900,4,a Processed Cheese from Austria,paper,,powdered,industrial,,2018-05-04,,,active,en,0.95,false,,Classification,ny,,,
high_conf_active,661,N295853,cbp_cross,US,US,990406,99040638,99,a Processed Cheese from Austria,paper,,powdered,industrial,,2018-05-04,,,active,en,0.9,false,,Classification,ny,,,
high_conf_active,945,N355782,cbp_cross,US,US,051191,0511910090,5,Artemia Cysts,polypropylene,,,veterinary,,2025-11-20,,,active,en,0.95,false,,Classification,ny,,,
high_conf_active,946,N355782,cbp_cross,US,US,990301,99030129,99,Artemia Cysts,polypropylene,,,veterinary,,2025-11-20,,,active,en,0.9,false,,Classification,ny,,,
high_conf_active,947,N339746,cbp_cross,US,US,051199,0511994070,5,Canine Skin Tissue,,,frozen,medical,,2024-05-02,,,active,en,0.9,false,,Classification,ny,,,
high_conf_active,949,H297145,cbp_cross,US,US,050590,05059020,5,Feather Meal Feedstock,down,,ground,industrial,,2018-11-13,,,active,en,0.9,false,,Classification,hq,,,
high_conf_active,950,H297145,cbp_cross,US,US,310100,3101000000,31,Feather Meal Feedstock,down,,ground,industrial,,2018-11-13,,,active,en,0.95,false,,Classification,hq,,,
high_conf_active,953,N338410,cbp_cross,US,US,051199,0511993060,5,Frozen Whole Rats and Mice,,,frozen,industrial,,2024-03-19,,,active,en,0.9,false,,Classification,ny,,,
high_conf_active,957,N352937,cbp_cross,US,US,051199,0511994070,5,Human Fecal Specimens,plastic,,,accessories,,2025-09-17,,,active,en,0.95,false,,Classification,ny,,,
high_conf_active,958,N352937,cbp_cross,US,US,990301,99030125,99,Human Fecal Specimens,plastic,,,accessories,,2025-09-17,,,active,en,0.9,false,,Classification,ny,,,
high_conf_active,959,N352937,cbp_cross,US,US,990302,99030219,99,Human Fecal Specimens,plastic,,,accessories,,2025-09-17,,,active,en,0.9,false,,Classification,ny,,,
high_conf_active,960,N352937,cbp_cross,US,US,970521,9705210000,97,Human Fecal Specimens,plastic,,,accessories,,2025-09-17,,,active,en,0.95,false,,Classification,ny,,,
high_conf_active,961,N286658,cbp_cross,US,US,051199,0511994070,5,Human Tissue Specimen,polypropylene,,dried,food,,2017-06-19,,,active,en,0.95,false,,Classification,ny,,,
high_conf_active,962,N345805,cbp_cross,US,US,051199,0511994070,5,Human Tissue Specimens,wax,,frozen,medical,,2025-02-27,,,active,en,1,false,,Classification,ny,,,
high_conf_active,963,N287866,cbp_cross,US,US,051199,0511994070,5,Human Tissue Specimens. Correction to Ruling Number N286658,polypropylene,,dried,food,,2017-07-06,,,active,en,0.95,false,,Classification,ny,,,
high_conf_active,966,N307928,cbp_cross,US,US,051199,0511994070,5,Mice Fecal Pellets,plastic,,,accessories,,2019-12-19,,,active,en,0.9,false,,Classification,ny,,,
high_conf_active,967,N303148,cbp_cross,US,US,051199,0511994070,5,Mice Tail Clippings,plastic,,,veterinary,,2019-03-08,,,active,en,0.9,false,,Classification,ny,,,
high_conf_active,969,N334026,cbp_cross,US,US,050800,0508000000,5,Paper Shell Foraminifera,plastic,,powdered,,,2023-07-24,,,active,en,1,false,,Classification,ny,,,
high_conf_active,971,N329949,cbp_cross,US,US,050800,0508000000,5,Puka Shells,gold,,powdered,,,2023-01-05,,,active,en,1,false,,Classification,ny,,,
high_conf_active,972,H317142,cbp_cross,US,US,051199,05119940,5,"R03338, NY N283432; NY C80101, NY B80750, and NY B82258; Modification of NY 870664 and NY R03056; tariff classification of human tissue samples and other human bodily specimens not prepared for therapeutic or prophylactic uses",rubber,,blown,industrial,,2024-01-23,,,active,en,0.95,false,,Classification,hq,,,
high_conf_active,973,H317142,cbp_cross,US,US,050710,050710,5,"R03338, NY N283432; NY C80101, NY B80750, and NY B82258; Modification of NY 870664 and NY R03056; tariff classification of human tissue samples and other human bodily specimens not prepared for therapeutic or prophylactic uses",rubber,,blown,industrial,,2024-01-23,,,active,en,0.9,false,,Classification,hq,,,
high_conf_active,974,H317142,cbp_cross,US,US,870664,870664,87,"R03338, NY N283432; NY C80101, NY B80750, and NY B82258; Modification of NY 870664 and NY R03056; tariff classification of human tissue samples and other human bodily specimens not prepared for therapeutic or prophylactic uses",rubber,,blown,industrial,,2024-01-23,,,active,en,0.9,false,,Classification,hq,,,
high_conf_active,975,H317142,cbp_cross,US,US,970500,9705000090,97,"R03338, NY N283432; NY C80101, NY B80750, and NY B82258; Modification of NY 870664 and NY R03056; tariff classification of human tissue samples and other human bodily specimens not prepared for therapeutic or prophylactic uses",rubber,,blown,industrial,,2024-01-23,,,active,en,1,false,,Classification,hq,,,
high_conf_active,976,H317142,cbp_cross,US,US,300190,30019000,30,"R03338, NY N283432; NY C80101, NY B80750, and NY B82258; Modification of NY 870664 and NY R03056; tariff classification of human tissue samples and other human bodily specimens not prepared for therapeutic or prophylactic uses",rubber,,blown,industrial,,2024-01-23,,,active,en,0.95,false,,Classification,hq,,,
high_conf_active,977,H317142,cbp_cross,US,US,382590,38259000,38,"R03338, NY N283432; NY C80101, NY B80750, and NY B82258; Modification of NY 870664 and NY R03056; tariff classification of human tissue samples and other human bodily specimens not prepared for therapeutic or prophylactic uses",rubber,,blown,industrial,,2024-01-23,,,active,en,0.95,false,,Classification,hq,,,
high_conf_active,978,H317142,cbp_cross,US,US,382510,382510,38,"R03338, NY N283432; NY C80101, NY B80750, and NY B82258; Modification of NY 870664 and NY R03056; tariff classification of human tissue samples and other human bodily specimens not prepared for therapeutic or prophylactic uses",rubber,,blown,industrial,,2024-01-23,,,active,en,0.9,false,,Classification,hq,,,
high_conf_active,979,H317142,cbp_cross,US,US,382520,382520,38,"R03338, NY N283432; NY C80101, NY B80750, and NY B82258; Modification of NY 870664 and NY R03056; tariff classification of human tissue samples and other human bodily specimens not prepared for therapeutic or prophylactic uses",rubber,,blown,industrial,,2024-01-23,,,active,en,0.9,false,,Classification,hq,,,
high_conf_active,980,H317142,cbp_cross,US,US,382530,382530,38,"R03338, NY N283432; NY C80101, NY B80750, and NY B82258; Modification of NY 870664 and NY R03056; tariff classification of human tissue samples and other human bodily specimens not prepared for therapeutic or prophylactic uses",rubber,,blown,industrial,,2024-01-23,,,active,en,0.9,false,,Classification,hq,,,
high_conf_active,981,H317142,cbp_cross,US,US,382541,382541,38,"R03338, NY N283432; NY C80101, NY B80750, and NY B82258; Modification of NY 870664 and NY R03056; tariff classification of human tissue samples and other human bodily specimens not prepared for therapeutic or prophylactic uses",rubber,,blown,industrial,,2024-01-23,,,active,en,0.9,false,,Classification,hq,,,
high_conf_active,982,H317142,cbp_cross,US,US,382549,382549,38,"R03338, NY N283432; NY C80101, NY B80750, and NY B82258; Modification of NY 870664 and NY R03056; tariff classification of human tissue samples and other human bodily specimens not prepared for therapeutic or prophylactic uses",rubber,,blown,industrial,,2024-01-23,,,active,en,0.9,false,,Classification,hq,,,
high_conf_active,983,H317142,cbp_cross,US,US,382550,382550,38,"R03338, NY N283432; NY C80101, NY B80750, and NY B82258; Modification of NY 870664 and NY R03056; tariff classification of human tissue samples and other human bodily specimens not prepared for therapeutic or prophylactic uses",rubber,,blown,industrial,,2024-01-23,,,active,en,0.9,false,,Classification,hq,,,
high_conf_active,984,H317142,cbp_cross,US,US,382561,382561,38,"R03338, NY N283432; NY C80101, NY B80750, and NY B82258; Modification of NY 870664 and NY R03056; tariff classification of human tissue samples and other human bodily specimens not prepared for therapeutic or prophylactic uses",rubber,,blown,industrial,,2024-01-23,,,active,en,0.9,false,,Classification,hq,,,
high_conf_active,985,H317142,cbp_cross,US,US,382569,382569,38,"R03338, NY N283432; NY C80101, NY B80750, and NY B82258; Modification of NY 870664 and NY R03056; tariff classification of human tissue samples and other human bodily specimens not prepared for therapeutic or prophylactic uses",rubber,,blown,industrial,,2024-01-23,,,active,en,0.9,false,,Classification,hq,,,
high_conf_active,986,H317142,cbp_cross,US,US,967288,967288,96,"R03338, NY N283432; NY C80101, NY B80750, and NY B82258; Modification of NY 870664 and NY R03056; tariff classification of human tissue samples and other human bodily specimens not prepared for therapeutic or prophylactic uses",rubber,,blown,industrial,,2024-01-23,,,active,en,0.9,false,,Classification,hq,,,
