company_name,website,email,industry,country,description
cGate,https://cgate.io,info@cgate.io,payment,CN,China cross-border payment gateway for global ecom
Shopline,https://shopline.com,partnerships@shopline.com,saas,HK_CN,Cross-border ecommerce platform Asia
Shoplazza,https://shoplazza.com,bd@shoplazza.com,saas,CN,China cross-border DTC store builder
ShopBase,https://shopbase.com,hello@shopbase.com,saas,VN_CN,Cross-border ecommerce platform with China sourcing
SHOPEX,https://shopex.cn,bd@shopex.cn,saas,CN,China B2C cross-border ecommerce SaaS
EasyStore,https://easystore.co,partnerships@easystore.co,saas,MY_CN,Southeast Asia ecommerce platform China-connected
SocialPeta,https://socialpeta.com,bd@socialpeta.com,saas,CN,Cross-border ecommerce ad intelligence platform
GoodsFox,https://goodsfox.com,bd@goodsfox.com,saas,CN,Cross-border ecommerce product research tool
FindNiche,https://findniche.com,support@findniche.com,saas,CN,Niche product finder for cross-border dropshipping
EcomHunt,https://ecomhunt.com,info@ecomhunt.com,saas,IL_CN,Dropshipping winning product research tool
Sell The Trend,https://sellthetrend.com,info@sellthetrend.com,saas,CN,AI-powered dropshipping product research
BigSpy,https://bigspy.com,contact@bigspy.com,saas,CN,Cross-border ecommerce ad spy tool
AdSpy,https://adspy.com,info@adspy.com,saas,UK_CN,Global ad intelligence for ecommerce
Koala Inspector,https://koalainspector.com,info@koalainspector.com,saas,CN,Shopify competitor research for cross-border
NicheDropshipping,https://nichedropshipping.com,info@nichedropshipping.com,saas,CN,China product sourcing and private label agent
Sourcify,https://sourcify.com,info@sourcify.com,saas,US_CN,China manufacturing sourcing platform
Jungle Scout China,https://junglescout.com,china@junglescout.com,saas,CN,Amazon seller tool China office
Helium 10 China,https://helium10.com,china@helium10.com,saas,CN,Amazon optimization tool China team
AMZScout,https://amzscout.net,info@amzscout.net,saas,CN,Amazon product research for Chinese sellers
Pacvue China,https://pacvue.com,china@pacvue.com,saas,CN,Retail media management China office
Teikametrics China,https://teikametrics.com,china@teikametrics.com,saas,CN,AI retail optimization China team
ChannelAdvisor China,https://channeladvisor.com,china@channeladvisor.com,saas,CN,Multichannel commerce China operations
GeekSeller,https://geekseller.com,support@geekseller.com,saas,CN,Walmart and Amazon multichannel management
Listing Mirror,https://listingmirror.com,info@listingmirror.com,saas,CN,Multichannel listing management cross-border
DHL eCommerce China,https://dhl.com/cn,cn.ecommerce@dhl.com,logistics_enterprise,CN,DHL China ecommerce cross-border solutions
FedEx China,https://fedex.com/cn,china.ecommerce@fedex.com,logistics_enterprise,CN,FedEx China cross-border ecommerce logistics
UPS China,https://ups.com/cn,china.solutions@ups.com,logistics_enterprise,CN,UPS China cross-border solutions
Cainiao Network,https://cainiao.com,partner@cainiao.com,logistics_enterprise,CN,Alibaba logistics network global operations
JD Logistics International,https://jdl.com,intl_bd@jdl.com,logistics_enterprise,CN,JD.com logistics international division
China Post EMS,https://ems.com.cn,intl_bd@chinapost.com.cn,logistics_enterprise,CN,China Post international express mail service
SF International,https://sf-international.com,partnerships@sf-international.com,logistics_enterprise,CN,SF Express international operations HQ
Zonos China,https://zonos.com,china@zonos.com,customs,CN,US cross-border duty platform China office
Global-e China,https://global-e.com,china@global-e.com,customs,CN,Cross-border commerce platform China team
Flow Commerce China,https://flow.io,china@flow.io,customs,CN,Global ecommerce compliance China office
AEB China,https://aeb.com,china@aeb.com,customs,DE_CN,Trade compliance software China operations
TradeEasy,https://tradeeasy.com.hk,info@tradeeasy.com.hk,customs,HK,Hong Kong trade compliance and customs platform
ChinaImEx,https://chinaimex.com,info@chinaimex.com,customs,CN,China import/export customs automation
SureDone China,https://suredone.com,china@suredone.com,customs,CN,Multichannel product data and customs
Customs City China,https://customscity.com,china@customscity.com,customs,US_CN,Digital customs brokerage China team
