company_name,website,email,industry,country,description
Payoneer,https://payoneer.com,partnerships@payoneer.com,payment,US,Cross-border payments for marketplaces and SMBs
Airwallex,https://airwallex.com,partnerships@airwallex.com,payment,AU,Global payments and financial infrastructure
WorldFirst,https://worldfirst.com,partnerships@worldfirst.com,payment,UK,International payment solutions for businesses
Checkout.com,https://checkout.com,partnerships@checkout.com,payment,UK,Global payment processing platform
Nuvei,https://nuvei.com,info@nuvei.com,payment,CA,"Global payment technology, 200+ markets"
2Checkout (Verifone),https://2checkout.com,partnerships@2checkout.com,payment,US,Global online payment platform
Thunes,https://thunes.com,info@thunes.com,payment,SG,"Cross-border payment network, 130+ countries"
Paymentwall,https://paymentwall.com,bizdev@paymentwall.com,payment,US,"Global payment platform, 200+ countries"
Xendit,https://xendit.co,partnerships@xendit.co,payment,ID,Southeast Asia payment infrastructure
Paymob,https://paymob.com,partnerships@paymob.com,payment,EG,MENA region payment gateway
Tabby,https://tabby.ai,partnerships@tabby.ai,payment,AE,Middle East BNPL for cross-border shopping
KGH Customs,https://kghcustoms.com,info@kghcustoms.com,customs,SE,European customs and trade compliance services
Customs City,https://customscity.com,info@customscity.com,customs,US,Digital customs brokerage platform
Tradewin,https://tradewin.net,info@tradewin.net,customs,US,Global trade consulting and compliance
Aaronsworth,https://aaronsworth.com,info@aaronsworth.com,customs,UK,UK customs consultancy for ecommerce
CustomsTrack,https://customstrack.com,info@customstrack.com,customs,NL,EU customs compliance technology
Digicust,https://digicust.com,info@digicust.com,customs,DE,AI-powered customs automation Germany
Customs Bridge,https://customsbridge.com,info@customsbridge.com,customs,BE,EU customs brokerage technology
Trade Compliance,https://tradecompliance.asia,info@tradecompliance.asia,customs,SG,Asia Pacific trade compliance solutions
Customs Connect,https://customsconnect.nl,info@customsconnect.nl,customs,NL,Netherlands customs clearance platform
BorderBuddy,https://borderbuddy.com,hello@borderbuddy.com,customs,CA,Canadian customs brokerage for ecommerce
Orderlytics,https://orderlytics.com,hello@orderlytics.com,shopify_app,US,Shopify analytics and reporting app
ShipScout,https://shipscout.io,hello@shipscout.io,shopify_app,US,Shopify shipping rate comparison
Sufio,https://sufio.com,hello@sufio.com,shopify_app,SK,"Shopify invoicing app, international invoices"
Vatify,https://vatify.eu,info@vatify.eu,shopify_app,DE,EU VAT compliance for Shopify stores
Metorik,https://metorik.com,hello@metorik.com,shopify_app,AU,WooCommerce/Shopify analytics and reporting
Privy,https://privy.com,partnerships@privy.com,shopify_app,US,Shopify email marketing and conversion
ShipperHQ,https://shipperhq.com,info@shipperhq.com,shopify_app,US,Advanced shipping rate management
EcoCart,https://ecocart.io,hello@ecocart.io,shopify_app,US,Carbon-neutral shipping for ecommerce
Gorgias,https://gorgias.com,partnerships@gorgias.com,shopify_app,US,Ecommerce helpdesk for Shopify
Loop Returns,https://loopreturns.com,partnerships@loopreturns.com,shopify_app,US,Returns management for Shopify
AfterShip,https://aftership.com,partnerships@aftership.com,shopify_app,HK,"Shipment tracking for ecommerce, 1000+ carriers"
Easyship HK,https://easyship.com,partnerships@easyship.com,shopify_app,HK,All-in-one shipping platform for ecommerce
Matrixify,https://matrixify.app,hello@matrixify.app,shopify_app,LV,Shopify data import/export
Transcy,https://transcy.io,hello@transcy.io,shopify_app,VN,Shopify translation and currency converter
LangShop,https://langshop.app,info@langshop.app,shopify_app,UA,Shopify multilingual and multicurrency
Gymshark,https://gymshark.com,partnerships@gymshark.com,dtc_brand,UK,"Global fitness apparel brand, ships to 200+ countries"
Allbirds,https://allbirds.com,partnerships@allbirds.com,dtc_brand,US,"Sustainable footwear, ships internationally"
Anker,https://anker.com,partnerships@anker.com,dtc_brand,CN,"Consumer electronics, global DTC operations"
Nothing,https://nothing.tech,partnerships@nothing.tech,dtc_brand,UK,"Consumer tech brand, global shipping"
Momofuku,https://momofuku.com,wholesale@momofuku.com,dtc_brand,US,Food brand with international DTC shipping
Casetify,https://casetify.com,partnerships@casetify.com,dtc_brand,HK,"Phone cases, global DTC from Hong Kong"
PatPat,https://patpat.com,business@patpat.com,dtc_brand,CN,"Kids clothing, ships from China to 100+ countries"
Shein,https://shein.com,business@shein.com,dtc_brand,CN,"Global fast fashion, massive cross-border operation"
Temu,https://temu.com,business@temu.com,dtc_brand,CN,"PDD's global marketplace, cross-border from China"
iHerb,https://iherb.com,partnerships@iherb.com,dtc_brand,US,"Health products, ships to 185+ countries"
Cin7,https://cin7.com,partnerships@cin7.com,erp,NZ,Inventory management for multichannel ecommerce
Odoo,https://odoo.com,partnerships@odoo.com,erp,BE,Open-source ERP with ecommerce module
TradeGecko (QuickBooks),https://quickbooks.intuit.com,partnerships@intuit.com,erp,US,Inventory and order management
Linnworks,https://linnworks.com,info@linnworks.com,erp,UK,Multichannel commerce automation
Veeqo,https://veeqo.com,hello@veeqo.com,erp,UK,Amazon-owned shipping and inventory management
Orderwise,https://orderwise.co.uk,info@orderwise.co.uk,erp,UK,UK order management and fulfillment
ShipHero,https://shiphero.com,sales@shiphero.com,erp,US,Warehouse management for ecommerce
Inflow Inventory,https://inflowinventory.com,info@inflowinventory.com,erp,CA,Inventory management software
Katana MRP,https://katanamrp.com,hello@katanamrp.com,erp,EE,Manufacturing ERP for ecommerce
Unleashed,https://unleashedsoftware.com,info@unleashedsoftware.com,erp,NZ,Inventory management for product businesses
