company_name,website,email,industry,country,description
Meridian Global Services,https://meridianglobalservices.com,info@meridianglobalservices.com,crossborder_saas,UK,Cross-border tax and compliance UK
Fonoa UK,https://fonoa.com,uk@fonoa.com,crossborder_saas,UK,Tax automation for digital cross-border UK
Patchworks,https://patchworks.co.uk,hello@patchworks.co.uk,crossborder_saas,UK,Integration platform for UK ecommerce
Ometria,https://ometria.com,hello@ometria.com,ecommerce_marketing,UK,Customer data platform for cross-border UK
Klaviyo UK,https://klaviyo.com,uk@klaviyo.com,ecommerce_marketing,UK,Email marketing platform UK for ecommerce
Nosto UK,https://nosto.com,uk@nosto.com,ecommerce_marketing,UK,Ecommerce personalization UK
Yotpo UK,https://yotpo.com,uk@yotpo.com,ecommerce_marketing,UK,Ecommerce marketing platform UK
LoyaltyLion,https://loyaltylion.com,hello@loyaltylion.com,ecommerce_marketing,UK,Loyalty program for UK ecommerce
Dotdigital,https://dotdigital.com,hello@dotdigital.com,ecommerce_marketing,UK,Marketing automation UK ecommerce
Gorgias UK,https://gorgias.com,uk@gorgias.com,ecommerce_marketing,UK,Ecommerce helpdesk UK
Recharge UK,https://rechargepayments.com,uk@rechargepayments.com,ecommerce_marketing,UK,Subscription payments for Shopify UK
Omnisend UK,https://omnisend.com,uk@omnisend.com,ecommerce_marketing,UK,Email and SMS marketing UK ecommerce
LateShipment UK,https://lateshipment.com,uk@lateshipment.com,logistics_tech,UK,Parcel audit and analytics UK
Shipwire UK,https://shipwire.com,uk@shipwire.com,logistics_tech,UK,Global fulfilment network UK
Flexport UK,https://flexport.com,uk@flexport.com,logistics_tech,UK,Digital freight forwarding UK
Zencargo,https://zencargo.com,hello@zencargo.com,logistics_tech,UK,Digital freight forwarder UK
Freightos UK,https://freightos.com,uk@freightos.com,logistics_tech,UK,Online freight marketplace UK
ContainerGo UK,https://containergo.com,uk@containergo.com,logistics_tech,UK,Container logistics platform UK
Freightify UK,https://freightify.com,uk@freightify.com,logistics_tech,UK,Freight rate management UK
Beacon UK,https://beacon.io,uk@beacon.io,logistics_tech,UK,Digital freight forwarding UK
Shypple UK,https://shypple.com,uk@shypple.com,logistics_tech,UK,Smart forwarding platform EU-UK
Multiorders UK,https://multiorders.com,uk@multiorders.com,logistics_tech,UK,Shipping management for UK sellers
Orderwave,https://orderwave.com,info@orderwave.com,logistics_tech,UK,Order management UK ecommerce
Descartes UK,https://descartes.com,uk@descartes.com,logistics_tech,UK,Logistics and compliance technology UK
ESW (eShopWorld),https://esw.com,partnerships@esw.com,crossborder_platform,IE_UK,Cross-border commerce solution UK Ireland
PFS Commerce,https://pfscommerce.com,info@pfscommerce.com,crossborder_platform,UK,Global ecommerce fulfilment UK
Radial UK,https://radial.com,uk@radial.com,crossborder_platform,UK,Ecommerce fulfilment and technology UK
Ingram Micro Commerce,https://ingrammicro.com,commerce.uk@ingrammicro.com,crossborder_platform,UK,Commerce and fulfilment services UK
Wincanton,https://wincanton.co.uk,info@wincanton.co.uk,crossborder_platform,UK,Supply chain logistics UK
XPO Logistics UK,https://xpo.com,uk.ecommerce@xpo.com,crossborder_platform,UK,Supply chain and logistics UK ecommerce
CEVA Logistics UK,https://cevalogistics.com,uk@cevalogistics.com,crossborder_platform,UK,Global logistics UK operations
Kerry Logistics UK,https://kerrylogistics.com,uk@kerrylogistics.com,crossborder_platform,UK,International logistics UK office
Maersk UK,https://maersk.com,uk.ecommerce@maersk.com,crossborder_platform,UK,Global container shipping and logistics UK
Cargo Logic UK,https://cargologic.com,info@cargologic.com,crossborder_platform,UK,Air cargo and logistics UK
Air Menzies UK,https://airmenzies.com,info@airmenzies.com,crossborder_platform,UK,Cargo and logistics UK
Duty Calculator,https://dutycalculator.com,info@dutycalculator.com,customs,UK,UK import duty calculator competitor
SimplyVAT UK,https://simplyvat.com,info@simplyvat.com,customs,UK,VAT compliance for UK ecommerce sellers
Hurricane Commerce,https://hurricanecommerce.com,info@hurricanecommerce.com,customs,UK,Cross-border trade data UK
Prodigi UK,https://prodigi.com,partnerships@prodigi.com,crossborder_saas,UK,Print-on-demand global fulfilment UK
Luzern eCommerce,https://luzerne.com,hello@luzerne.com,crossborder_saas,UK,Amazon channel management UK
Feedonomics UK,https://feedonomics.com,uk@feedonomics.com,crossborder_saas,UK,Data feed management UK ecommerce
Visualsoft,https://visualsoft.co.uk,info@visualsoft.co.uk,crossborder_saas,UK,Ecommerce platform UK with international
WeDo Technologies UK,https://wedotechnologies.com,uk@wedotechnologies.com,crossborder_saas,UK,Revenue assurance technology UK
