company_name,website,email,email_source,industry,country,description,employee_count
Pirate Ship,https://www.pirateship.com,support@pirateship.com,web search result,ecom_tools,US,Free shipping software for UPS and USPS with international shipping support,50-100
Passport Shipping,https://passportglobal.com,help@passportglobal.com,web search result,logistics_startup,US,International shipping compliance localization and cross-border solutions,100-200
SimplyDuty,https://www.simplyduty.com,hello@simplyduty.com,web search result,ecom_tools,UK,Import duty and tax calculation API and calculator for 100+ countries,10-20
Zonos,https://zonos.com,support@zonos.com,web search result,ecom_tools,US,Cross-border ecommerce - duty tax classification and international checkout,100-300
Meest,https://us.meest.com,ecommerce@meest.com,web search result,logistics_startup,US,International shipping and ecommerce fulfillment to 75 countries,200-500
Stackry,https://www.stackry.com,support@stackry.com,web search result,logistics_startup,US,Package forwarding service for international shipping from US,20-50
Floship,https://www.floship.com,james@floship.com,web search result PR contact,logistics_startup,HK,Global ecommerce fulfillment and cross-border logistics from Asia,50-100
Shippo,https://goshippo.com,support@goshippo.com,web search result,ecom_tools,US,Multi-carrier shipping API for ecommerce businesses,200-300
AfterShip,https://www.aftership.com,support@aftership.com,web search result,ecom_tools,HK,Shipment tracking and post-purchase experience platform for ecommerce,200-500
Freightos,https://www.freightos.com,press@freightos.com,web search result,logistics_startup,IL,Online freight shipping marketplace and booking platform,200-300
EasyPost,https://www.easypost.com,support@easypost.com,web search result,ecom_tools,US,Simple multi-carrier shipping API for ecommerce,100-200
Parcelhub,https://www.parcelhub.co.uk,sales@parcelhub.co.uk,web search result,logistics_startup,UK,Parcel delivery management for UK ecommerce businesses,50-100
ShipStation,https://www.shipstation.com,support@shipstation.com,web search result,ecom_tools,US,Shipping software for ecommerce order fulfillment multichannel,500+
Ordoro,https://www.ordoro.com,sales@ordoro.com,web search result,ecom_tools,US,Shipping inventory and order management for ecommerce brands,20-50
Anchanto,https://anchanto.com,vaibhav.dabhade@anchanto.com,web search EasyLeadz,ecom_tools,SG,Ecommerce and supply chain SaaS solutions for Asia Pacific,200-300
Linnworks,https://www.linnworks.com,info@linnsystems.com,web search result,ecom_tools,UK,Connected commerce operations for multichannel retail growth,200-300
Extensiv,https://www.extensiv.com,info@skubana.com,web search result,ecom_tools,US,Multichannel inventory and order management software (formerly Skubana),200-300
Customs4trade,https://www.customs4trade.com,info@customs4trade.com,web search result,ecom_tools,BE,Automated customs clearance SaaS solution (CAS system),50-100
Descartes CustomsInfo,https://www.customsinfo.com,info@customsinfo.com,website contact page,ecom_tools,US,Global trade content HS codes and customs rulings database,100-200
Hurricane Commerce,https://hurricanecommerce.com,info@hurricanecommerce.com,web search result,ecom_tools,UK,Cross-border ecommerce customs data and HS classification software,50-100
Fulfyld,https://www.fulfyld.com,sales@fulfyld.com,web search result,logistics_startup,US,3PL fulfillment service and ecommerce warehouse,50-100
Qwintry,https://qwintry.com,service@qwintry.com,web search result,logistics_startup,US,Package forwarding and international shipping service,50-100
Planet Express,https://planetexpress.com,help@planetexpress.com,web search result,logistics_startup,US,Package forwarding from US to 220+ countries,20-50
Clearit USA,https://clearitusa.com,info@clearitusa.com,web search result,ecom_tools,US,Customs broker for US imports Amazon FBA and ecommerce,20-50
Crossborderit,https://www.crossborderit.com,info@crossborderit.com,web search result,ecom_tools,SE,IOSS and DDP automation for cross-border ecommerce Shopify app,10-30
Ecorn Agency,https://www.ecorn.agency,hello@ecorn.agency,web search result,ecom_tools,US,Shopify ecommerce agency for fashion and lifestyle brands,20-50
ShipBob,https://www.shipbob.com,support@shipbob.com,web search result,logistics_startup,US,Global ecommerce fulfillment with 40+ centers worldwide,1000+
Styledotty,https://www.styledotty.com,apatel@styledotty.com,Crunchbase company profile,beauty_dtc,IN,Cross-border beauty skincare and lifestyle platform for India,10-20
Flexport,https://www.flexport.com,hello@flexport.com,web search result,logistics_startup,US,Full-service global freight forwarding and customs brokerage,3000+
SEKO Logistics,https://www.sekologistics.com,ukenquiries@sekologistics.com,web search result,logistics_startup,US,Cross-border ecommerce shipping and logistics solutions,2000+
Asendia,https://www.asendia.com,info.uk@asendia.com,web search result,logistics_startup,CH,International ecommerce delivery and cross-border mail solutions,1000+
iContainers,https://www.icontainers.com,ivan@icontainers.com,web search Crunchbase,logistics_startup,ES,Digital freight forwarder for international shipping from Barcelona,50-100
ShippyPro,https://www.shippypro.com,hello@shippypro.com,web search result,ecom_tools,IT,AI-powered shipping automation platform for ecommerce 180+ carriers,50-100
Glopal,https://merchants.glopal.com,NOT_FOUND,,ecom_tools,FR,Cross-border duty and tax solution with DDP for ecommerce merchants,50-100
Anrok,https://www.anrok.com,NOT_FOUND,,ecom_tools,US,Global sales tax automation for SaaS and ecommerce companies,50-100
Go Global Ecommerce,https://www.goglobalecommerce.com,NOT_FOUND,,ecom_tools,IE,Merchant of Record for international cross-border ecommerce expansion,50-100
Fonoa,https://www.fonoa.com,NOT_FOUND,,ecom_tools,IE,Tax automation and compliance platform for digital businesses,100-200
Quaderno,https://quaderno.io,NOT_FOUND,,ecom_tools,ES,Worldwide tax compliance software for SaaS and ecommerce,10-30
Huboo,https://huboo.com,NOT_FOUND,,logistics_startup,UK,UK-based ecommerce fulfillment and 3PL provider,200-500
Eunimart,https://eunimart.com,NOT_FOUND,,ecom_tools,IN,Cross-border ecommerce SaaS platform for selling globally,50-100
Swap Commerce,https://www.swap-commerce.com,NOT_FOUND,,logistics_startup,UK,AI-powered ecommerce logistics platform - shipping returns compliance,50-100
Launch Fulfillment,https://www.launchfulfillment.com,NOT_FOUND,,logistics_startup,US,Mid-market 3PL with warehouses in US and UK,50-100
Speed Commerce,https://www.speedcommerce.com,NOT_FOUND,,logistics_startup,US,3PL fulfillment services for ecommerce and small business,200-500
Bringg,https://www.bringg.com,NOT_FOUND,,logistics_startup,IL,Last-mile delivery management platform for enterprise logistics,200-500
Sendcloud,https://www.sendcloud.com,NOT_FOUND,,ecom_tools,NL,Shipping automation software for European ecommerce businesses,200-500
Dutify,https://dutify.com,NOT_FOUND,,ecom_tools,UK,Import duty and tax calculator with HS code classification API,10-20
Reach,https://www.withreach.com,NOT_FOUND,,payment_startup,CA,Modular merchant of record for global cross-border sellers,50-100
ChannelAdvisor,https://www.channeladvisor.com,NOT_FOUND,,ecom_tools,US,Multichannel commerce platform for ecommerce automation (now Rithum),500+
TariffTel,https://www.tarifftel.com,NOT_FOUND,,ecom_tools,UK,HS code classification platform with expert-verified customs data,20-50
TradeGlobal,https://www.tradeglobal.com,NOT_FOUND,,ecom_tools,US,Cross-border ecommerce logistics and fulfillment solutions,100-200
Spring GDS,https://www.spring-gds.com,NOT_FOUND,,logistics_startup,NL,International last-mile delivery for ecommerce since 2001,200-500
Loqate,https://www.loqate.com,NOT_FOUND,,ecom_tools,UK,Address email and phone validation for ecommerce checkout,200-500
eShopWorld,https://www.eshopworld.com,NOT_FOUND,,ecom_tools,IE,Cross-border ecommerce platform for global DTC brands,500+
Red Stag Fulfillment,https://redstagfulfillment.com,NOT_FOUND,,logistics_startup,US,3PL ecommerce fulfillment specializing in heavy and oversized items,200-500
Fulfillment.com,https://www.fulfillment.com,NOT_FOUND,,logistics_startup,US,Global 3PL fulfillment with hubs in UK Europe Australia North America,100-200
eFulfillment Service,https://www.efulfillmentservice.com,NOT_FOUND,,logistics_startup,US,Award-winning 3PL for small to medium ecommerce businesses since 2001,50-100
Anbeond,https://anbeond.com,NOT_FOUND,,ecom_tools,US,Shopify duty and tax calculator app for international checkout,5-10
Digicust,https://www.digicust.com,NOT_FOUND,,ecom_tools,AT,AI-powered customs automation and tariff classification,20-50
SendFromChina,https://www.sendfromchina.com,NOT_FOUND,,logistics_startup,CN,China-based ecommerce fulfillment center for international shipping,100-200
OpenBorder,https://www.openborder.com,sales@openborder.com,web search result,ecom_tools,US,Cross-border ecommerce platform for Amazon TikTok Shopify expansion,20-50
ChannelEngine,https://www.channelengine.com,channels-team@channelengine.com,web search result,ecom_tools,NL,Marketplace integration platform for 1300+ channels worldwide,100-200
Loop Returns,https://www.loopreturns.com,support@loopreturns.com,web search result,ecom_tools,US,Returns and exchanges management platform for Shopify brands,100-200
ParcelPerform,https://www.parcelperform.com,contact@parcelperform.com,web search result,ecom_tools,SG,AI delivery experience platform with 900+ carrier integrations,50-100
Narvar,https://corp.narvar.com,press@narvar.com,web search result,ecom_tools,US,Post-purchase experience platform - tracking returns notifications,200-500
Malomo,https://gomalomo.com,help@gomalomo.com,web search result,ecom_tools,US,Branded shipment tracking platform for DTC ecommerce (acquired by Redo),20-50
Eshopbox,https://www.eshopbox.com,hello@eshopbox.com,web search result,logistics_startup,IN,Ecommerce fulfillment company in India with pan-India warehouse network,200-500
Unicommerce,https://unicommerce.com,contactus@unicommerce.com,web search result,ecom_tools,IN,Leading ecommerce enablement SaaS platform for order and warehouse management,200-500
Veeqo,https://www.veeqo.com,hi@veeqo.com,web search result,ecom_tools,US,Multichannel ecommerce shipping and inventory software (Amazon company),100-200
Sellercloud,https://sellercloud.com,support@sellercloud.com,web search result,ecom_tools,US,Multichannel inventory and order management software (Descartes),200-500
everstox,https://www.everstox.com,NOT_FOUND,,logistics_startup,DE,3PL fulfillment partner with 70+ centers across Europe and US,50-100
aCommerce,https://www.acommerce.asia,NOT_FOUND,,ecom_tools,TH,Southeast Asias largest ecommerce enabler - end to end solutions,200-500
Shipup,https://www.shipup.co,NOT_FOUND,,ecom_tools,FR,Delivery experience customization platform with 150+ integrations,50-100
WareIQ,https://wareiq.com,NOT_FOUND,,logistics_startup,IN,Amazon-Prime like fulfillment network for modern brands in India,100-200
Returbo,https://returbo.io,NOT_FOUND,,ecom_tools,SE,Returns management automation platform for retailers,10-20
ShipEngine,https://www.shipengine.com,NOT_FOUND,,ecom_tools,US,Multi-carrier shipping API (becoming ShipStation API),200-500
Magaya,https://www.magaya.com,support@magaya.com,web search result,ecom_tools,US,Logistics management and customs filing software for freight forwarders,200-500
LateShipment.com,https://www.lateshipment.com,support@lateshipment.com,web search result,ecom_tools,US,Post-purchase delivery experience management and shipping audit platform,50-100
Cahoot,https://www.cahoot.ai,NOT_FOUND,,logistics_startup,US,Peer-to-peer ecommerce order fulfillment network - 30% lower cost,20-50
