company_name,website,country,tier,industry,email_verified,verified_email
StarTrack,https://startrack.com.au,AU,3,logistics,NO,
Sendle,https://sendle.com,AU,3,shipping,NO,
ShipStation AU,https://shipstation.com,AU,3,shipping,NO,
Shippit,https://shippit.com,AU,3,shipping,NO,
Temando,https://temando.com,AU,3,shipping,NO,
Neto (Maropost),https://maropost.com,AU,3,ecommerce_ops,NO,
BigCommerce AU,https://bigcommerce.com.au,AU,3,ecommerce_platform,NO,
Shopify AU,https://shopify.com.au,AU,3,ecommerce_platform,NO,
eParcel,https://auspost.com.au/eparcel,AU,3,logistics,NO,
DHL AU,https://dhl.com.au,AU,3,logistics,NO,
FedEx AU,https://fedex.com/en-au,AU,3,logistics,NO,
Aramex AU,https://aramex.com.au,AU,3,logistics,NO,
TNT AU,https://tnt.com.au,AU,3,logistics,NO,
Airwallex AU,https://airwallex.com,AU,3,payment,NO,
Stripe AU,https://stripe.com/au,AU,3,payment,NO,
Afterpay,https://afterpay.com,AU,3,payment,NO,
Zip Co,https://zip.co,AU,3,payment,NO,
Assembly Payments,https://assemblypayments.com,AU,3,payment,NO,
eWAY,https://eway.com.au,AU,3,payment,NO,
Jaybill,https://jaybill.com.au,AU,3,payment,NO,
TradeWindow AU,https://tradewindow.io,AU,3,trade_compliance,NO,
Customs Brokers AU,https://cbfca.com.au,AU,3,customs,NO,
Freight People,https://freightpeople.com.au,AU,3,freight,NO,
Flexport AU,https://flexport.com,AU,3,freight,NO,
Aramex UAE,https://aramex.com,UAE,3,logistics,NO,
Fetchr,https://fetchr.us,UAE,3,logistics,NO,
Careem Box,https://careem.com,UAE,3,logistics,NO,
Emirates Post,https://emiratespost.ae,UAE,3,logistics,NO,
DHL UAE,https://dhl.ae,UAE,3,logistics,NO,
FedEx UAE,https://fedex.com/en-ae,UAE,3,logistics,NO,
Noon Logistics,https://noon.com,UAE,3,ecommerce,NO,
Tabby,https://tabby.ai,UAE,3,payment,NO,
Telr,https://telr.com,UAE,3,payment,NO,
PayTabs,https://paytabs.com,UAE,3,payment,NO,
Network International,https://networkinternational.ae,UAE,3,payment,NO,
Payfort (Amazon),https://payfort.com,UAE,3,payment,NO,
Trukker,https://trukker.com,UAE,3,freight,NO,
Quiqup,https://quiqup.com,UAE,3,logistics,NO,
Zid,https://zid.sa,UAE,3,ecommerce_platform,NO,
Salla,https://salla.com,UAE,3,ecommerce_platform,NO,
iMile,https://imile.com,UAE,3,logistics,NO,
Shipa Delivery,https://shipadelivery.com,UAE,3,logistics,NO,
Wing,https://wing.ae,UAE,3,logistics,NO,
Floward,https://floward.com,UAE,3,ecommerce,NO,
Tradeling,https://tradeling.com,UAE,3,b2b_marketplace,NO,
Freightify UAE,https://freightify.com,UAE,3,freight,NO,
Agility Logistics,https://agility.com,UAE,3,logistics,NO,
DP World,https://dpworld.com,UAE,3,port_logistics,NO,
GAC Group,https://gfrgroup.com,UAE,3,logistics,NO,
Al-Futtaim Logistics,https://alfuttaim.com,UAE,3,logistics,NO,
